experiment,amm_type,steps,seed,total_steps,avg_price_gap,max_price_gap,min_price_gap,avg_volatility,max_volatility,price_stability,initial_k,final_k,k_growth_percent,total_swaps,arb_trades,arb_profit,lp_exited,lp_panic_events,num_runs,seed_base,avg_price_gap_mean,avg_price_gap_std,avg_price_gap_min,avg_price_gap_max,max_price_gap_mean,max_price_gap_std,max_price_gap_min,max_price_gap_max,price_stability_mean,price_stability_std,price_stability_min,price_stability_max,k_growth_percent_mean,k_growth_percent_std,k_growth_percent_min,k_growth_percent_max,arb_profit_mean,arb_profit_std,arb_profit_min,arb_profit_max,arb_trades_mean,arb_trades_std,arb_trades_min,arb_trades_max,lp_panic_events_mean,lp_panic_events_std,lp_panic_events_min,lp_panic_events_max,total_swaps_mean,total_swaps_std,total_swaps_min,total_swaps_max,avg_volatility_mean,avg_volatility_std,avg_volatility_min,avg_volatility_max,max_volatility_mean,max_volatility_std,max_volatility_min,max_volatility_max,lp_exit_rate,crash_step,crash_magnitude,dump_step,pump_step,volatility_multiplier
high_volatility,uniswap,500,1042.0,500.0,95.69779644801139,282.2923814170058,0.0036118448768434064,0.05049738482949354,0.099963792852377,421.1805887023616,20002010.50196634,5118812.6047033975,-74.40850956357521,913.0,215.0,38095.87298714425,True,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
high_volatility,uniswap,500,,,,,,,,,,,,,,,,,2.0,42.0,51.24319315569373,62.86830288591127,6.788589863376076,95.69779644801139,174.2562964024089,152.78609665333562,66.22021138781201,282.2923814170058,383.7012019325073,53.00385707935474,346.22181516265294,421.1805887023616,-74.16398254038404,0.34581343256366986,-74.40850956357521,-73.91945551719287,17445.292840113238,29204.330514803838,-3205.287306917773,38095.87298714425,348.0,188.09040379562165,215.0,481.0,1.0,0.0,1.0,1.0,1015.0,144.2497833620557,913.0,1117.0,0.050133624062012036,0.0005144354108315974,0.04976986329453052,0.05049738482949354,0.09991316335407928,7.160092314877976e-05,0.09986253385578156,0.099963792852377,1.0,,,,,
baseline,constant_sum,500,42.0,500.0,8874.829861957653,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333.0,7.0,-131038.03652577192,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,constant_sum,500,1042.0,500.0,8233.590306510014,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193.0,10.0,-109142.78627614287,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,constant_sum,500,,,,,,,,,,,,,,,,,2.0,42.0,8554.210084233833,453.42483802207255,8233.590306510014,8874.829861957653,49577.1172844746,14740.481861206412,39154.022602458244,60000.211966490955,8990.229644360932,2675.3739631432636,7098.454572812402,10882.004715909463,0.0005786969562326938,0.0001286087275180111,0.0004877568528849352,0.0006696370595804524,-120090.4114009574,15482.279927289152,-131038.03652577192,-109142.78627614287,8.5,2.1213203435596424,7.0,10.0,0.0,0.0,0.0,0.0,263.0,98.99494936611666,193.0,333.0,0.009947456151917253,6.828337077161813e-05,0.009899172517402367,0.00999573978643214,0.01996238465157766,3.08938076361341e-05,0.019940539430701475,0.01998422987245384,0.0,,,,,
flash_crash,constant_sum,500,42.0,500.0,9221.15668704997,60000.211966490955,3.662109250886715,0.009899172517402367,0.01998422987245384,10882.004715909463,200100.0,200101.33994375623,0.0006696370595804524,333.0,7.0,-65471.38919698319,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,constant_sum,500,1042.0,500.0,8545.69732356227,39154.022602458244,3.1518650275575055,0.00999573978643214,0.019940539430701475,7098.454572812402,200100.00403370973,200100.980035192,0.0004877568528849352,193.0,10.0,-54527.379239354224,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,250.0,-0.5,,,
flash_crash,constant_sum,500,,,,,,,,,,,,,,,,,2.0,42.0,8883.42700530612,477.6218963381018,8545.69732356227,9221.15668704997,49577.1172844746,14740.481861206412,39154.022602458244,60000.211966490955,8990.229644360932,2675.3739631432636,7098.454572812402,10882.004715909463,0.0005786969562326938,0.0001286087275180111,0.0004877568528849352,0.0006696370595804524,-59999.38421816871,7738.583654412542,-65471.38919698319,-54527.379239354224,8.5,2.1213203435596424,7.0,10.0,0.0,0.0,0.0,0.0,263.0,98.99494936611666,193.0,333.0,0.009947456151917253,6.828337077161813e-05,0.009899172517402367,0.00999573978643214,0.01996238465157766,3.08938076361341e-05,0.019940539430701475,0.01998422987245384,0.0,,,,,
whale_manipulation,constant_sum,600,42.0,600.0,6724.106551868326,60000.211966490955,3.662109250886715,0.010145574462968756,0.019988509125815065,8578.46297615961,200100.0,200101.43322654816,0.0007162551465045297,408.0,7.0,-127041.55152793761,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
whale_manipulation,constant_sum,600,1042.0,600.0,8364.309454688411,39154.022602458244,3.1518650275575055,0.009909376076241963,0.019996165078238187,7095.388935087932,200100.00403370973,200101.19492781535,0.0005951494660649814,235.0,10.0,-101078.89451238254,False,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.0,400.0,
